property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
30536,-37.775353,145.003039,9a Andrew Street,NORTHCOTE,MURRINDINDI,19929,0.62587,24,1,0,0,0,0
83256,-37.888303,145.243893,6 Towner Drive,KNOXFIELD,SOUTHERN GRAMPIANS,19868,4.57167,46,1,0,0,0,0
64418,-37.804006,145.297413,4 Edward Court,CROYDON,CARDINIA,19878,1.75995,42,1,25,10,5,3
96343,-37.915334,145.048999,9a Osborne Avenue,BENTLEIGH,HOBSONS BAY,19939,1.07955,30,1,20,15,15,10
46118,-37.709881,145.12116,48 Sherbourne Road,MONTMORENCY,PORT PHILLIP,19986,0.60362,48,1,25,9,5,3
78386,-37.93845,145.214601,8 Royal Oak Court,MULGRAVE,MACEDON RANGES,19890,4.60384,41,1,1,1,1,0
61918,-37.822719,145.222569,4 Inez Avenue,RINGWOOD,MACEDON RANGES,19902,0.94612,34,1,1,1,1,0
9749,-37.892974,144.639584,13 Rowes Road,WERRIBEE,LODDON,19921,2.02149,Not available,0,0,0,0,0
70566,-37.888719,145.105409,17 Hillcrest Avenue,CHADSTONE,MELTON,19840,1.78208,Not available,0,87,30,19,10
84611,-37.876888,144.981491,12 Meredith Street,ELWOOD,MORELAND,19955,1.2127,Not available,0,111,55,48,25
39177,-37.751019,145.036911,23 Wilkinson Crescent,BELLFIELD,MITCHELL,19934,2.05032,33,1,14,5,3,1
92132,-37.981327,145.089142,22 Gainsborough Road,MENTONE,WEST WIMMERA,19864,1.72494,45,1,0,0,0,0
30982,-37.760518,144.998513,23 Shaftesbury Parade,THORNBURY,LATROBE,20015,0.41895,29,1,2,2,1,0
33743,-37.701911,145.034277,126 Darebin Boulevard,RESERVOIR,EAST GIPPSLAND,20008,2.12238,44,1,1,0,0,0
71832,-37.859734,145.216917,83 Milpera Crescent,WANTIRNA,CENTRAL GOLDFIELDS,19871,4.25786,37,1,0,0,0,0
43277,-37.721591,145.106746,70 Tarcoola Drive,YALLAMBIE,MAROONDAH,19986,1.4773,48,1,23,4,2,1
18614,-37.672519,144.941965,3 Donald Street,DALLAS,MOORABOOL,19960,0.83134,34,1,7,2,1,0
85828,-37.882294,145.002136,78 Regent Street,ELSTERNWICK,MORELAND,19954,0.2946,Not available,0,111,55,48,25
24452,-37.710262,144.965134,5 Piper Street,FAWKNER,MONASH,19962,0.63145,28,1,16,5,3,2
12281,-37.711294,144.775444,13 Marylou Court,DELAHEY,BULOKE,20000,1.13703,34,1,0,0,0,0
7496,-37.738274,144.823623,43 Harefield Crescent,KEALBA,BASS COAST,20002,2.20078,28,1,0,0,0,0
78782,-37.934055,145.154785,2 Young Street,SPRINGVALE,GREATER BENDIGO,19914,1.48506,33,1,0,0,0,0
17990,-37.670107,144.933079,10 MOE COURT,DALLAS,MOORABOOL,44817,1.18751,35,1,7,2,1,0
69926,-37.863651,145.083069,309 High Street,ASHBURTON,DAREBIN,19848,0.24107,27,1,41,22,15,8
9426,-37.843349,144.73922,25 Birchmore Circuit,TRUGANINA,CENTRAL GOLDFIELDS,46468,3.03895,Not available,0,0,0,0,0
15428,-37.726171,144.917048,61 Mascoma Street,STRATHMORE,KNOX,20033,0.99624,26,1,23,5,3,2
18489,-37.666626,144.93306,224 Blair Street,DALLAS,MOORABOOL,44817,0.87911,35,1,7,2,1,0
63353,-37.805839,145.286256,10 Rowan Street,CROYDON,CARDINIA,19878,1.26035,42,1,25,10,5,3
90279,-37.968204,145.081311,205 Centre Dandenong Rd,CHELTENHAM,YARRA RANGES,19865,2.0784,43,1,5,3,2,1
93438,-37.990152,145.082641,5 Imes Street,PARKDALE,STONNINGTON,19864,0.64265,45,1,19,4,3,1
41151,-37.688786,145.057951,8 Cabernet Crescent,BUNDOORA,WODONGA,19984,3.35743,42,1,3,0,0,0
